Car_Name,Model_Year,Owner_Type,Kilometers_Driven,Fuel_Type,Transmission,Price_INR,Engine_Capacity_cc,Power_BHP,Top_Speed_kmph,Battery_Capacity_kWh,State,City
MG Hector,2021,First,40000,Petrol,Automatic,1250000,1956,167,180,0,Maharashtra,Mumbai / Pune
Kia Sonet,2022,First,28000,Petrol,Automatic,950000,1493,113,170,0,Delhi,Delhi NCR
Nissan Magnite,2023,First,18000,Petrol,Manual,650000,999,98,170,0,Karnataka,Bangalore
Tata Punch,2024,First,9000,Petrol,Manual,620000,1199,86,150,0,Tamil Nadu,Chennai
Maruti Suzuki WagonR,2014,Third,95000,CNG,Manual,180000,998,66,150,0,Maharashtra,Mumbai / Pune
Hyundai Venue,2021,First,38000,Petrol,Automatic,820000,998,118,180,0,Delhi,Delhi NCR
Skoda Kushaq,2022,First,25000,Petrol,Manual,1050000,999,113,180,0,Karnataka,Bangalore
Volkswagen Taigun,2023,First,15000,Petrol,Automatic,1250000,999,113,180,0,Telangana,Hyderabad
Mahindra Scorpio,2017,Second,85000,Diesel,Manual,750000,2179,130,165,0,Maharashtra,Mumbai / Pune
Tata Tiago,2020,Second,52000,Petrol,Manual,380000,1199,84,150,0,Delhi,Delhi NCR
Honda Civic,2019,Second,48000,Petrol,Automatic,1250000,1799,139,200,0,Karnataka,Bangalore
Toyota Glanza,2022,First,22000,Petrol,Automatic,680000,1197,89,160,0,Gujarat,Ahmedabad
Ford EcoSport,2018,Second,65000,Diesel,Manual,550000,1498,99,170,0,Maharashtra,Mumbai / Pune
BMW X5,2021,First,32000,Diesel,Automatic,5800000,2998,335,243,0,Delhi,Delhi NCR
Audi Q7,2019,Second,55000,Diesel,Automatic,3800000,2995,335,250,0,Karnataka,Bangalore
Mercedes-Benz E-Class,2023,First,14000,Diesel,Automatic,6500000,1950,191,240,0,Tamil Nadu,Chennai
Porsche Macan,2022,First,20000,Petrol,Automatic,7500000,1984,261,232,0,Maharashtra,Mumbai / Pune
Volvo XC90,2020,First,45000,Diesel,Automatic,5500000,1969,300,230,0,Delhi,Delhi NCR
Land Rover Defender,2024,First,8000,Petrol,Automatic,8800000,1997,296,191,0,Karnataka,Bangalore
Tata Safari,2023,First,19000,Diesel,Automatic,1950000,1956,167,180,0,Telangana,Hyderabad
Hyundai Verna,2024,First,10000,Petrol,Automatic,1350000,1497,113,190,0,Maharashtra,Mumbai / Pune
Maruti Suzuki Dzire,2018,Second,75000,Diesel,Manual,480000,1197,89,160,0,Delhi,Delhi NCR
Kia Carens,2023,First,21000,Diesel,Manual,1350000,1493,113,170,0,Karnataka,Bangalore
MG ZS EV,2022,First,28000,Electric,Automatic,1650000,0,174,140,50.3,Gujarat,Ahmedabad
Tata Nexon EV,2023,First,15000,Electric,Automatic,1250000,0,127,120,40.5,Maharashtra,Mumbai / Pune
Kia EV6,2024,First,5000,Electric,Automatic,5500000,0,320,192,77.4,Delhi,Delhi NCR
Hyundai Ioniq 5,2023,First,12000,Electric,Automatic,4000000,0,214,185,72.6,Karnataka,Bangalore
Mahindra XUV300,2021,First,35000,Petrol,Manual,820000,1197,108,175,0,Tamil Nadu,Chennai
Maruti Suzuki Alto,2012,Fourth,120000,Petrol,Manual,100000,796,47,140,0,Maharashtra,Mumbai / Pune
Honda WR-V,2019,Second,58000,Diesel,Manual,580000,1498,98,165,0,Delhi,Delhi NCR
Renault Kwid,2020,First,45000,Petrol,Manual,280000,999,67,150,0,Karnataka,Bangalore
Datsun redi-GO,2018,Second,65000,Petrol,Manual,200000,799,53,140,0,Telangana,Hyderabad
Nissan Sunny,2015,Third,95000,Diesel,Manual,250000,1461,84,160,0,Maharashtra,Mumbai / Pune
Volkswagen Vento,2017,Second,82000,Diesel,Automatic,480000,1498,108,180,0,Delhi,Delhi NCR
Skoda Superb,2021,First,38000,Petrol,Automatic,2200000,1984,187,239,0,Karnataka,Bangalore
Toyota Corolla Altis,2019,Second,55000,Petrol,Manual,1100000,1798,138,190,0,Gujarat,Ahmedabad
Honda CR-V,2018,Second,68000,Petrol,Automatic,1450000,1997,152,190,0,Maharashtra,Mumbai / Pune
Jeep Wrangler,2022,First,24000,Petrol,Automatic,5200000,1998,268,180,0,Delhi,Delhi NCR
BMW X1,2023,First,16000,Petrol,Automatic,3800000,1499,134,208,0,Karnataka,Bangalore
Audi Q3,2022,First,26000,Petrol,Automatic,3200000,1984,187,220,0,Tamil Nadu,Chennai
Mercedes-Benz GLC,2021,First,34000,Diesel,Automatic,4500000,1993,194,215,0,Maharashtra,Mumbai / Pune
Jaguar F-Pace,2020,Second,48000,Diesel,Automatic,3800000,1997,246,217,0,Delhi,Delhi NCR
Volvo XC40,2023,First,12000,Petrol,Automatic,3900000,1969,190,210,0,Karnataka,Bangalore
Porsche Cayenne,2021,First,28000,Petrol,Automatic,9500000,2995,335,245,0,Telangana,Hyderabad
Land Rover Discovery,2019,Second,62000,Diesel,Automatic,5200000,1997,296,201,0,Maharashtra,Mumbai / Pune
Lexus NX,2022,First,21000,Electric,Automatic,4800000,2487,194,200,18.1,Delhi,Delhi NCR
Mini Cooper S,2021,First,18000,Petrol,Automatic,3200000,1998,189,235,0,Karnataka,Bangalore
Maruti Suzuki Swift,2005,Fourth,180000,Petrol,Manual,40000,1197,89,160,0,Gujarat,Ahmedabad
Hyundai Santro,2002,Fourth,210000,CNG,Manual,30000,1086,62,140,0,Maharashtra,Mumbai / Pune
Tata Indica,1998,Fourth,320000,Diesel,Manual,25000,1405,53,130,0,Delhi,Delhi NCR
Maruti 800,1996,Fourth,280000,Petrol,Manual,20000,796,37,130,0,Karnataka,Bangalore
Honda City,2008,Third,150000,Petrol,Manual,150000,1497,117,180,0,Tamil Nadu,Chennai
Toyota Innova,2006,Third,240000,Diesel,Manual,280000,2494,100,150,0,Maharashtra,Mumbai / Pune
Mahindra Scorpio,2009,Third,170000,Diesel,Manual,250000,2609,115,150,0,Delhi,Delhi NCR
Ford Ikon,2004,Fourth,190000,Petrol,Manual,50000,1299,69,150,0,Karnataka,Bangalore
Hyundai Accent,2007,Third,160000,CNG,Manual,80000,1495,93,165,0,Telangana,Hyderabad
Maruti Suzuki Zen,2003,Fourth,200000,Petrol,Manual,45000,993,60,140,0,Maharashtra,Mumbai / Pune
Chevrolet Spark,2010,Third,110000,Petrol,Manual,90000,995,62,145,0,Delhi,Delhi NCR
Fiat Punto,2012,Second,100000,Diesel,Manual,120000,1248,75,155,0,Karnataka,Bangalore
Volkswagen Polo,2011,Third,130000,Petrol,Manual,180000,1198,74,165,0,Gujarat,Ahmedabad
Skoda Laura,2010,Third,140000,Diesel,Automatic,200000,1968,138,200,0,Maharashtra,Mumbai / Pune
BMW 3 Series,2008,Third,160000,Petrol,Automatic,350000,1995,177,230,0,Delhi,Delhi NCR
Mercedes-Benz E-Class,2007,Third,180000,Diesel,Automatic,400000,2987,231,245,0,Karnataka,Bangalore
Audi A4,2011,Second,120000,Diesel,Automatic,550000,1968,141,215,0,Tamil Nadu,Chennai
Toyota Corolla,2005,Fourth,220000,Petrol,Manual,120000,1794,125,185,0,Maharashtra,Mumbai / Pune
Maruti Suzuki Swift,2026,First,250,Petrol,Manual,850000,1197,89,160,0,Delhi,Delhi NCR
Hyundai Creta,2026,First,150,Diesel,Automatic,1800000,1493,113,170,0,Karnataka,Bangalore
Tata Nexon,2026,First,300,Petrol,Automatic,1400000,1199,118,180,0,Telangana,Hyderabad
Mahindra Thar,2026,First,400,Diesel,Manual,1850000,2184,130,155,0,Maharashtra,Mumbai / Pune
Toyota Fortuner,2026,First,100,Diesel,Automatic,4500000,2755,201,190,0,Delhi,Delhi NCR
BMW X5,2026,First,50,Diesel,Automatic,9500000,2998,335,243,0,Karnataka,Bangalore
Mercedes-Benz GLE,2026,First,120,Diesel,Automatic,10500000,1950,241,225,0,Gujarat,Ahmedabad
Audi Q7,2026,First,80,Petrol,Automatic,9200000,2995,335,250,0,Maharashtra,Mumbai / Pune
Porsche 911,2026,First,20,Petrol,Automatic,18500000,2981,379,293,0,Delhi,Delhi NCR
Land Rover Range Rover,2026,First,30,Diesel,Automatic,25000000,2996,394,242,0,Karnataka,Bangalore
Kia EV6,2026,First,150,Electric,Automatic,6500000,0,320,192,77.4,Tamil Nadu,Chennai
Hyundai Ioniq 5,2026,First,200,Electric,Automatic,4800000,0,214,185,72.6,Maharashtra,Mumbai / Pune
Tata Safari,2026,First,250,Diesel,Automatic,2600000,1956,167,180,0,Delhi,Delhi NCR
Mahindra XUV700,2026,First,180,Diesel,Automatic,2400000,2198,182,195,0,Karnataka,Bangalore
Honda City,2026,First,350,Petrol,Automatic,1650000,1498,119,180,0,Telangana,Hyderabad
Maruti Suzuki Baleno,2026,First,400,Petrol,Manual,950000,1197,89,160,0,Maharashtra,Mumbai / Pune
Skoda Slavia,2026,First,280,Petrol,Automatic,1750000,999,113,190,0,Delhi,Delhi NCR
Volkswagen Virtus,2026,First,320,Petrol,Automatic,1850000,999,113,190,0,Karnataka,Bangalore
Jeep Meridian,2026,First,150,Diesel,Automatic,3500000,1956,167,198,0,Gujarat,Ahmedabad
Toyota Camry,2026,First,100,Electric,Automatic,4800000,2487,215,210,1.6,Maharashtra,Mumbai / Pune
Volvo XC90,2026,First,80,Electric,Automatic,9800000,1969,300,230,18.8,Delhi,Delhi NCR
Jaguar F-Type,2026,First,50,Petrol,Automatic,14500000,1997,296,250,0,Karnataka,Bangalore
Lexus RX,2026,First,120,Electric,Automatic,11500000,2487,246,200,1.8,Tamil Nadu,Chennai
MG Astor,2026,First,250,Petrol,Automatic,1800000,1498,108,175,0,Maharashtra,Mumbai / Pune
Kia Seltos,2026,First,300,Petrol,Automatic,1950000,1493,113,170,0,Delhi,Delhi NCR
Nissan Magnite,2026,First,450,Petrol,Automatic,1050000,999,98,170,0,Karnataka,Bangalore
Renault Kiger,2026,First,500,Petrol,Manual,950000,999,98,170,0,Telangana,Hyderabad
Ford Endeavour,2021,First,45000,Diesel,Automatic,2800000,1996,167,165,0,Maharashtra,Mumbai / Pune
Maruti Suzuki Ciaz,2019,Second,65000,Petrol,Manual,480000,1462,103,190,0,Delhi,Delhi NCR
Hyundai Elantra,2018,Second,70000,Petrol,Automatic,850000,1999,150,200,0,Karnataka,Bangalore
Tata Hexa,2017,Second,85000,Diesel,Manual,650000,2179,154,175,0,Gujarat,Ahmedabad
Mahindra TUV300,2016,Third,110000,Diesel,Manual,380000,1493,100,160,0,Maharashtra,Mumbai / Pune
Toyota Yaris,2019,Second,55000,Petrol,Automatic,650000,1496,105,175,0,Delhi,Delhi NCR
Honda BR-V,2017,Second,80000,Petrol,Manual,500000,1497,117,165,0,Karnataka,Bangalore
Chevrolet Cruze,2015,Third,105000,Diesel,Manual,280000,1998,163,200,0,Tamil Nadu,Chennai
Fiat Linea,2014,Third,115000,Diesel,Manual,200000,1368,88,165,0,Maharashtra,Mumbai / Pune
Nissan Kicks,2020,First,52000,Petrol,Manual,650000,1498,104,175,0,Delhi,Delhi NCR
Renault Captur,2018,Second,75000,Diesel,Manual,450000,1498,104,170,0,Karnataka,Bangalore
Skoda Rapid,2019,Second,68000,Diesel,Manual,580000,1498,103,185,0,Telangana,Hyderabad
Volkswagen Ameo,2017,Second,82000,Diesel,Automatic,400000,1498,108,180,0,Maharashtra,Mumbai / Pune
Jeep Compass,2021,First,35000,Diesel,Automatic,1450000,1956,167,185,0,Delhi,Delhi NCR
MG Gloster,2022,First,28000,Diesel,Automatic,2800000,1996,158,180,0,Karnataka,Bangalore
Kia Carnival,2021,First,42000,Diesel,Automatic,2200000,2199,197,190,0,Gujarat,Ahmedabad
BMW 5 Series,2019,Second,55000,Diesel,Automatic,3500000,1995,190,235,0,Maharashtra,Mumbai / Pune
Mercedes-Benz GLA,2020,First,45000,Petrol,Automatic,2800000,1332,161,210,0,Delhi,Delhi NCR
Audi Q5,2018,Second,70000,Diesel,Automatic,2500000,1984,249,237,0,Karnataka,Bangalore
Volvo S60,2021,First,32000,Petrol,Automatic,3200000,1969,190,220,0,Tamil Nadu,Chennai
Land Rover Evoque,2019,Second,58000,Diesel,Automatic,3600000,1997,246,221,0,Maharashtra,Mumbai / Pune
Porsche Panamera,2020,First,38000,Petrol,Automatic,9500000,2894,325,270,0,Delhi,Delhi NCR
Jaguar XE,2018,Second,65000,Diesel,Automatic,2400000,1997,246,250,0,Karnataka,Bangalore
Lexus ES,2021,First,25000,Electric,Automatic,4800000,2487,214,210,1.6,Telangana,Hyderabad
Mini Countryman,2020,First,35000,Petrol,Automatic,2800000,1998,189,225,0,Maharashtra,Mumbai / Pune
Maruti Suzuki Ertiga,2022,First,32000,CNG,Manual,900000,1462,101,170,0,Delhi,Delhi NCR
Hyundai Aura,2021,First,40000,Petrol,Manual,580000,1197,82,165,0,Karnataka,Bangalore
Tata Altroz,2023,First,15000,Petrol,Manual,700000,1199,85,160,0,Gujarat,Ahmedabad
Mahindra Bolero,2020,First,65000,Diesel,Manual,650000,1493,75,130,0,Maharashtra,Mumbai / Pune
Toyota Urban Cruiser,2021,First,38000,Petrol,Manual,750000,1462,103,165,0,Delhi,Delhi NCR
Honda Jazz,2019,Second,52000,Petrol,Automatic,520000,1199,88,160,0,Karnataka,Bangalore
Kia Sonet,2023,First,18000,Diesel,Automatic,1150000,1493,113,170,0,Tamil Nadu,Chennai
Maruti Suzuki S-Cross,2018,Second,75000,Diesel,Manual,520000,1248,88,160,0,Maharashtra,Mumbai / Pune
Hyundai Tucson,2022,First,26000,Diesel,Automatic,2100000,1995,182,201,0,Delhi,Delhi NCR
Tata Tigor,2021,First,42000,Petrol,Automatic,550000,1199,84,150,0,Karnataka,Bangalore
Maruti Suzuki Celerio,2020,First,50000,Petrol,Manual,380000,998,66,150,0,Telangana,Hyderabad
Mahindra Marazzo,2019,Second,70000,Diesel,Manual,700000,1497,121,165,0,Maharashtra,Mumbai / Pune
Datsun GO,2017,Second,80000,Petrol,Manual,220000,1198,67,150,0,Delhi,Delhi NCR
Nissan Terrano,2016,Third,105000,Diesel,Manual,300000,1461,84,160,0,Karnataka,Bangalore
Renault Triber,2022,First,28000,Petrol,Manual,520000,999,71,140,0,Gujarat,Ahmedabad
Volkswagen Jetta,2015,Third,115000,Diesel,Manual,350000,1968,138,200,0,Maharashtra,Mumbai / Pune
Skoda Yeti,2014,Third,125000,Diesel,Manual,280000,1968,138,190,0,Delhi,Delhi NCR
Ford Figo,2018,Second,68000,Diesel,Manual,350000,1498,99,170,0,Karnataka,Bangalore
Chevrolet Beat,2013,Fourth,135000,Diesel,Manual,120000,936,56,140,0,Tamil Nadu,Chennai
Fiat Avventura,2016,Third,95000,Diesel,Manual,220000,1248,91,165,0,Maharashtra,Mumbai / Pune
BMW 7 Series,2020,First,40000,Diesel,Automatic,7500000,2998,335,250,0,Delhi,Delhi NCR
Mercedes-Benz S-Class,2021,First,25000,Diesel,Automatic,10500000,2925,282,250,0,Karnataka,Bangalore
Audi A8,2019,Second,50000,Petrol,Automatic,6500000,2995,335,250,0,Telangana,Hyderabad
Volvo XC60,2022,First,22000,Petrol,Automatic,4500000,1969,250,220,0,Maharashtra,Mumbai / Pune
Land Rover Discovery Sport,2020,First,45000,Diesel,Automatic,4200000,1997,246,210,0,Delhi,Delhi NCR
Jaguar XF,2017,Second,75000,Diesel,Automatic,2000000,1997,246,240,0,Karnataka,Bangalore
Porsche 718 Boxster,2021,First,15000,Petrol,Automatic,9500000,1988,295,275,0,Gujarat,Ahmedabad
Maruti Suzuki Ignis,2020,First,45000,Petrol,Manual,450000,1197,81,160,0,Maharashtra,Mumbai / Pune
Hyundai Xcent,2018,Second,80000,Petrol,Manual,350000,1197,81,160,0,Delhi,Delhi NCR
Tata Zest,2017,Second,90000,Diesel,Manual,250000,1248,88,155,0,Karnataka,Bangalore
Mahindra KUV100,2019,Second,65000,Petrol,Manual,320000,1198,82,150,0,Tamil Nadu,Chennai
Honda Brio,2016,Third,85000,Petrol,Manual,250000,1198,87,160,0,Maharashtra,Mumbai / Pune
Toyota Etios,2015,Third,120000,Diesel,Manual,280000,1364,67,155,0,Delhi,Delhi NCR
Maruti Suzuki Omni,2014,Fourth,140000,CNG,Manual,120000,796,34,110,0,Karnataka,Bangalore
Hyundai Eon,2015,Third,100000,Petrol,Manual,150000,814,55,135,0,Telangana,Hyderabad
Tata Nano,2016,Third,60000,Petrol,Manual,100000,624,37,105,0,Maharashtra,Mumbai / Pune
Chevrolet Sail,2014,Third,110000,Diesel,Manual,180000,1248,74,150,0,Delhi,Delhi NCR
Ford Fiesta,2013,Fourth,130000,Diesel,Manual,200000,1498,89,165,0,Karnataka,Bangalore
Maruti Suzuki Esteem,2001,Fourth,240000,Petrol,Manual,40000,1298,85,160,0,Gujarat,Ahmedabad
Hyundai Sonata,2005,Fourth,210000,Petrol,Manual,100000,2359,137,190,0,Maharashtra,Mumbai / Pune
Tata Sierra,1999,Fourth,290000,Diesel,Manual,50000,1948,68,130,0,Delhi,Delhi NCR
Mahindra Armada,1997,Fourth,350000,Diesel,Manual,50000,2498,72,120,0,Karnataka,Bangalore
Maruti Suzuki Gypsy,2004,Third,180000,Petrol,Manual,150000,1298,80,140,0,Tamil Nadu,Chennai
Toyota Qualis,2003,Fourth,380000,Diesel,Manual,180000,2446,74,130,0,Maharashtra,Mumbai / Pune
Honda Accord,2008,Third,160000,Petrol,Automatic,250000,2354,142,205,0,Delhi,Delhi NCR
Skoda Fabia,2010,Third,130000,Petrol,Manual,150000,1198,75,160,0,Karnataka,Bangalore
Volkswagen Passat,2012,Second,120000,Diesel,Automatic,400000,1968,168,220,0,Telangana,Hyderabad
BMW X3,2015,Second,105000,Diesel,Automatic,1200000,1995,190,210,0,Maharashtra,Mumbai / Pune
Mercedes-Benz M-Class,2014,Third,115000,Diesel,Automatic,1400000,2987,258,225,0,Delhi,Delhi NCR
Audi Q5,2016,Second,95000,Diesel,Automatic,1600000,1984,249,237,0,Karnataka,Bangalore
Maruti Suzuki Grand Vitara,2024,First,15000,Electric,Automatic,1450000,1490,114,170,1.5,Gujarat,Ahmedabad
Toyota Hyryder,2023,First,22000,Electric,Automatic,1350000,1490,114,170,1.5,Maharashtra,Mumbai / Pune
Hyundai Alcazar,2022,First,35000,Diesel,Automatic,1550000,1493,113,175,0,Delhi,Delhi NCR
Kia Seltos,2024,First,12000,Petrol,Automatic,1600000,1493,113,170,0,Karnataka,Bangalore
MG Hector Plus,2021,First,48000,Diesel,Manual,1350000,1956,167,180,0,Tamil Nadu,Chennai
Tata Curvv,2025,First,8000,Electric,Automatic,1850000,0,140,160,50,Maharashtra,Mumbai / Pune
Mahindra BE.05,2026,First,150,Electric,Automatic,2250000,0,281,190,60,Delhi,Delhi NCR
Maruti Suzuki Fronx,2024,First,18000,Petrol,Automatic,950000,998,98,170,0,Karnataka,Bangalore
Hyundai Exter,2025,First,12000,Petrol,Manual,780000,1197,81,150,0,Telangana,Hyderabad
Toyota Rumion,2023,First,28000,CNG,Manual,1000000,1462,101,170,0,Maharashtra,Mumbai / Pune
Honda Elevate,2024,First,14000,Petrol,Automatic,1350000,1498,119,160,0,Delhi,Delhi NCR
Skoda Kodiaq,2022,First,32000,Petrol,Automatic,2800000,1984,187,210,0,Karnataka,Bangalore
Volkswagen Tiguan,2021,First,42000,Petrol,Automatic,2200000,1984,187,205,0,Gujarat,Ahmedabad
Jeep Grand Cherokee,2023,First,18000,Petrol,Automatic,6500000,1995,268,206,0,Maharashtra,Mumbai / Pune
BYD Atto 3,2023,First,24000,Electric,Automatic,2400000,0,201,160,60.5,Delhi,Delhi NCR
Volvo C40 Recharge,2024,First,15000,Electric,Automatic,5500000,0,402,180,78,Karnataka,Bangalore
Mini Cooper SE,2022,First,20000,Electric,Automatic,3800000,0,181,150,32.6,Tamil Nadu,Chennai
Audi e-tron,2021,First,35000,Electric,Automatic,6500000,0,402,200,95,Maharashtra,Mumbai / Pune
BMW iX,2023,First,16000,Electric,Automatic,9500000,0,322,200,76.6,Delhi,Delhi NCR
Mercedes-Benz EQS,2024,First,10000,Electric,Automatic,13500000,0,516,210,107.8,Karnataka,Bangalore
Porsche Taycan,2022,First,22000,Electric,Automatic,11500000,0,402,230,93.4,Telangana,Hyderabad
Maruti Suzuki Invicto,2024,First,10000,Petrol,Automatic,2300000,1987,150,180,0,Maharashtra,Mumbai / Pune
Tata Safari Storme,2018,Second,80000,Diesel,Manual,650000,2179,154,165,0,Delhi,Delhi NCR
Hyundai Santro Xing,2008,Third,150000,Petrol,Manual,80000,1086,62,145,0,Karnataka,Bangalore
Kia Carens,2024,First,15000,Diesel,Automatic,1650000,1493,113,170,0,Gujarat,Ahmedabad
Mahindra TUV300 Plus,2019,Second,60000,Diesel,Manual,550000,2179,120,155,0,Maharashtra,Mumbai / Pune
Toyota Urban Cruiser Hyryder,2024,First,12000,Electric,Automatic,1450000,1490,114,170,1.5,Delhi,Delhi NCR
Honda BR-V,2018,Second,70000,Petrol,Manual,600000,1497,117,165,0,Karnataka,Bangalore
Renault Kiger,2023,First,25000,Petrol,Automatic,820000,999,98,170,0,Tamil Nadu,Chennai
Nissan Kicks,2021,First,40000,Petrol,Manual,780000,1498,104,175,0,Maharashtra,Mumbai / Pune
Skoda Rapid,2020,First,50000,Petrol,Automatic,820000,999,108,185,0,Delhi,Delhi NCR
Volkswagen Vento,2019,Second,65000,Petrol,Automatic,600000,1197,103,180,0,Karnataka,Bangalore
Jeep Compass Trailhawk,2022,First,30000,Diesel,Automatic,2400000,1956,167,185,0,Telangana,Hyderabad
MG Hector Plus,2022,First,35000,Diesel,Manual,1550000,1956,167,180,0,Maharashtra,Mumbai / Pune
BMW 2 Series Gran Coupe,2023,First,20000,Diesel,Automatic,3600000,1995,187,233,0,Delhi,Delhi NCR
Mercedes-Benz A-Class Limousine,2022,First,25000,Petrol,Automatic,3800000,1332,161,230,0,Karnataka,Bangalore
Audi A3,2019,Second,55000,Diesel,Automatic,1600000,1968,141,215,0,Gujarat,Ahmedabad
Volvo S90,2021,First,30000,Petrol,Automatic,4200000,1969,250,230,0,Maharashtra,Mumbai / Pune
Jaguar XE,2019,Second,45000,Diesel,Automatic,2200000,1997,177,228,0,Delhi,Delhi NCR
Lexus NX 300h,2020,First,40000,Electric,Automatic,3800000,2494,194,180,1.6,Karnataka,Bangalore
Mini Cooper JCW,2023,First,15000,Petrol,Automatic,4200000,1998,228,246,0,Tamil Nadu,Chennai
Porsche Macan S,2024,First,8000,Petrol,Automatic,8500000,2894,375,259,0,Maharashtra,Mumbai / Pune
Land Rover Range Rover Evoque,2022,First,25000,Diesel,Automatic,5500000,1997,201,213,0,Delhi,Delhi NCR
Tata Tiago EV,2023,First,20000,Electric,Automatic,850000,0,74,120,24,Karnataka,Bangalore
Mahindra eVerito,2019,Second,50000,Electric,Automatic,400000,0,41,86,21.2,Telangana,Hyderabad
Hyundai Kona Electric,2021,First,35000,Electric,Automatic,1500000,0,134,155,39.2,Maharashtra,Mumbai / Pune
Kia Niro EV,2025,First,5000,Electric,Automatic,3200000,0,201,167,64.8,Delhi,Delhi NCR
MG ZS EV,2023,First,22000,Electric,Automatic,1850000,0,174,140,50.3,Karnataka,Bangalore
Nissan Leaf,2020,First,45000,Electric,Automatic,1400000,0,147,144,40,Gujarat,Ahmedabad
Renault Zoe,2021,First,38000,Electric,Automatic,1200000,0,134,140,52,Maharashtra,Mumbai / Pune
Tata Tigor EV,2024,First,12000,Electric,Automatic,1000000,0,74,120,26,Delhi,Delhi NCR
Mahindra XUV400,2025,First,10000,Electric,Automatic,1550000,0,150,150,39.4,Karnataka,Bangalore
Citroen eC3,2024,First,15000,Electric,Automatic,1100000,0,57,107,29.2,Tamil Nadu,Chennai
Peugeot e-208,2023,First,25000,Electric,Automatic,2100000,0,136,150,50,Maharashtra,Mumbai / Pune
Fiat 500e,2022,First,30000,Electric,Automatic,2200000,0,117,150,42,Delhi,Delhi NCR
Volkswagen ID.4,2024,First,18000,Electric,Automatic,4500000,0,201,160,77,Karnataka,Bangalore
Skoda Enyaq iV,2025,First,8000,Electric,Automatic,4800000,0,201,160,77,Telangana,Hyderabad
Audi Q4 e-tron,2023,First,22000,Electric,Automatic,5200000,0,295,180,77,Maharashtra,Mumbai / Pune
BMW i4,2024,First,15000,Electric,Automatic,8800000,0,335,190,80.7,Delhi,Delhi NCR
Mercedes-Benz EQB,2025,First,5000,Electric,Automatic,6800000,0,288,160,66.5,Karnataka,Bangalore
Porsche Taycan Cross Turismo,2024,First,12000,Electric,Automatic,14500000,0,469,220,93.4,Gujarat,Ahmedabad
Tesla Model Y,2023,First,25000,Electric,Automatic,6200000,0,384,217,75,Maharashtra,Mumbai / Pune
Rivian R1T,2024,First,18000,Electric,Automatic,7200000,0,835,180,135,Delhi,Delhi NCR
Lucid Air,2025,First,10000,Electric,Automatic,8200000,0,819,180,112,Karnataka,Bangalore
Ford Mustang Mach-E,2022,First,35000,Electric,Automatic,5500000,0,266,180,91,Tamil Nadu,Chennai
Chevrolet Bolt EUV,2023,First,28000,Electric,Automatic,2800000,0,200,150,65,Maharashtra,Mumbai / Pune
Toyota bZ4X,2024,First,15000,Electric,Automatic,3800000,0,201,160,71.4,Delhi,Delhi NCR
Subaru Solterra,2025,First,8000,Electric,Automatic,4200000,0,215,160,71.4,Karnataka,Bangalore
